grupo,rango_edad,sexo,frecuencia,total_genero,porcentaje,frecuencia_bidireccional
1,0-24,Hombre,7463,19564,38.15,-7463
1,0-24,Mujer,6781,17775,38.15,6781
1,25-29,Hombre,5911,19564,30.21,-5911
1,25-29,Mujer,4940,17775,27.79,4940
1,30-34,Hombre,2453,19564,12.54,-2453
1,30-34,Mujer,2247,17775,12.64,2247
1,35-39,Hombre,1244,19564,6.36,-1244
1,35-39,Mujer,1270,17775,7.14,1270
1,40-44,Hombre,884,19564,4.52,-884
1,40-44,Mujer,1021,17775,5.74,1021
1,45-49,Hombre,689,19564,3.52,-689
1,45-49,Mujer,690,17775,3.88,690
1,50-54,Hombre,547,19564,2.8,-547
1,50-54,Mujer,535,17775,3.01,535
1,55-59,Hombre,331,19564,1.69,-331
1,55-59,Mujer,266,17775,1.5,266
1,60+,Hombre,42,19564,0.21,-42
1,60+,Mujer,25,17775,0.14,25
2,0-24,Hombre,7370,21466,34.33,-7370
2,0-24,Mujer,2921,11575,25.24,2921
2,25-29,Hombre,4365,21466,20.33,-4365
2,25-29,Mujer,2522,11575,21.79,2522
2,30-34,Hombre,3385,21466,15.77,-3385
2,30-34,Mujer,2026,11575,17.5,2026
2,35-39,Hombre,2151,21466,10.02,-2151
2,35-39,Mujer,1338,11575,11.56,1338
2,40-44,Hombre,1553,21466,7.23,-1553
2,40-44,Mujer,1089,11575,9.41,1089
2,45-49,Hombre,1086,21466,5.06,-1086
2,45-49,Mujer,805,11575,6.95,805
2,50-54,Hombre,880,21466,4.1,-880
2,50-54,Mujer,523,11575,4.52,523
2,55-59,Hombre,607,21466,2.83,-607
2,55-59,Mujer,313,11575,2.7,313
2,60+,Hombre,69,21466,0.32,-69
2,60+,Mujer,38,11575,0.33,38
3,0-24,Hombre,2649,22476,11.79,-2649
3,0-24,Mujer,818,11975,6.83,818
3,25-29,Hombre,3791,22476,16.87,-3791
3,25-29,Mujer,2019,11975,16.86,2019
3,30-34,Hombre,4029,22476,17.93,-4029
3,30-34,Mujer,2116,11975,17.67,2116
3,35-39,Hombre,3288,22476,14.63,-3288
3,35-39,Mujer,1931,11975,16.13,1931
3,40-44,Hombre,3060,22476,13.61,-3060
3,40-44,Mujer,1937,11975,16.18,1937
3,45-49,Hombre,2357,22476,10.49,-2357
3,45-49,Mujer,1466,11975,12.24,1466
3,50-54,Hombre,1829,22476,8.14,-1829
3,50-54,Mujer,1006,11975,8.4,1006
3,55-59,Hombre,1293,22476,5.75,-1293
3,55-59,Mujer,610,11975,5.09,610
3,60+,Hombre,180,22476,0.8,-180
3,60+,Mujer,72,11975,0.6,72
