probabilidad,edad,antiguedad_mes,genero,saldopararetiro,flag_cedido,proba_tercil,saldo_tercil,grupo
0.4029055,24.2,41,1,18000.2,1,2,1,1
0.4156217,48.6,46,1,103698.0,0,3,3,3
0.4144592,20.8,28,2,32607.3,0,2,2,2
0.4071094,36.6,44,1,10861.1,0,2,1,1
0.4303858,30.5,36,2,91084.2,0,3,3,3
0.401844024658203,25.3,42,2,41710.8,0,1,2,1
0.40490710735321,22.7,24,1,40442.2,0,2,2,2
0.3958479,27.2,21,1,21857.0,0,1,1,1
0.3894871,25.2,57,2,60712.6,0,1,3,2
0.4049044,24.5,28,1,12070.8,0,2,1,1
0.427309,48.8,26,1,29301.3,1,3,2,3
0.4229221,45.2,121,1,332164.2,0,3,3,3
0.4102335,26.8,40,2,85208.4,0,2,3,3
0.3953844,24.5,37,2,32842.3,0,1,2,1
0.4178562,20.8,28,1,14154.0,0,3,1,2
0.4052823,45.8,26,2,27180.5,0,2,2,2
0.4070504,25.1,69,1,83584.6,0,2,3,3
0.3977427,56.6,126,1,139153.0,0,1,3,2
0.390259,28.1,37,2,28956.1,0,1,2,1
0.4114579,23.6,37,2,8900.3,0,2,1,1
0.4174671,25.9,92,1,33391.5,0,3,2,3
0.425516903400421,23.8,33,1,8956.2,0,3,1,2
0.402332633733749,31.5,63,1,5035.7,0,1,1,1
0.389337569475174,39.5,107,1,134720.1,0,1,3,2
0.4010863,23.7,33,2,6442.7,0,1,1,1
0.4161344,22.7,39,1,2815.2,0,3,1,2
0.3993542,36.5,64,1,37611.3,0,1,2,1
0.4050995,22.3,40,2,8744.5,0,2,1,1
0.4125223,31.6,42,2,25776.8,0,2,2,2
0.429342120885849,25.5,33,1,25644.8,0,3,2,3
0.4217691,38.8,37,2,57907.2,0,3,3,3
0.4123021,47.5,88,1,46749.0,0,2,2,2
0.4041305,28.4,33,1,34696.3,1,2,2,2
0.4277892,34.5,26,1,26452.7,0,3,2,3
0.4006436,28.7,40,1,3431.2,0,1,1,1
0.3923999,27.9,51,2,37825.8,0,1,2,1
0.418759644031525,20.4,12,2,5480.1,0,3,1,2
0.4020393,25.9,31,2,38465.3,0,1,2,1
0.4068669,26.0,21,2,19353.8,0,2,1,1
0.428047686815262,42.1,26,1,111396.3,0,3,3,3
0.390238881111145,31.0,38,1,49547.2,0,1,2,1
0.4022173,34.1,73,1,3787.1,0,1,1,1
0.3928538,48.6,51,1,29096.0,0,1,2,1
0.4295419,47.8,38,1,22320.3,0,3,2,3
0.414111,38.2,16,1,17914.3,0,2,1,1
0.4033104,27.3,38,2,24325.9,0,2,2,2
0.4048424,23.7,61,1,33975.4,0,2,2,2
0.41255846619606,49.9,209,2,85150.9,0,2,3,3
0.4261306,56.1,42,1,48613.2,0,3,2,3
0.4176508,31.9,25,1,39576.8,0,3,2,3
0.4011059,44.9,115,2,64790.6,0,1,3,2
0.4113913,25.5,36,1,8605.9,0,2,1,1
0.38996,42.0,40,2,21807.4,0,1,1,1
0.421617418527603,45.8,44,1,156888.6,0,3,3,3
0.4272535,21.7,41,1,15659.7,0,3,1,2
0.4066409,25.3,36,2,18831.5,0,2,1,1
0.396596997976303,56.0,152,1,99743.1,0,1,3,2
0.3983476,52.3,56,2,84819.2,0,1,3,2
0.4189038,21.3,28,1,4347.8,0,3,1,2
0.4050986,21.7,20,1,13009.4,0,2,1,1
0.418928951025009,27.3,65,1,37024.0,0,3,2,3
0.4081089,24.6,39,1,57052.9,0,2,3,3
0.3939481,27.2,41,2,58760.0,0,1,3,2
0.4259538,22.3,33,2,8323.7,0,3,1,2
0.391004115343094,37.9,153,2,75772.7,0,1,3,2
0.3911358,52.3,42,1,31744.6,0,1,2,1
0.425553,56.1,29,1,27645.4,0,3,2,3
0.417043119668961,35.8,77,1,47483.6,0,3,2,3
0.4221987,52.4,33,1,69538.9,0,3,3,3
0.4086086,33.2,33,1,52463.1,0,2,3,3
0.43084990978241,41.5,30,2,53701.9,0,3,3,3
0.4137062,36.9,64,1,44543.0,0,2,2,2
0.409115523099899,35.4,32,1,117483.7,0,2,3,3
0.3954328,40.6,177,2,132705.0,0,1,3,2
0.4066446,22.0,25,1,33419.7,0,2,2,2
0.3942487,23.6,66,1,16357.2,0,1,1,1
0.4055119,41.2,125,1,123029.2,0,2,3,3
0.410194784402847,24.3,54,1,14121.5,0,2,1,1
0.4222566,21.1,18,2,16814.5,0,3,1,2
0.405958,34.8,58,1,59711.8,1,2,3,3
0.393904268741608,34.7,41,1,122500.5,0,1,3,2
0.4141653,23.6,66,2,32118.7,0,2,2,2
0.412805,23.9,23,2,6811.6,0,2,1,1
0.3945541,36.8,34,1,11174.0,0,1,1,1
0.423364,26.3,42,2,26831.6,0,3,2,3
0.431037276983261,32.7,34,2,35281.1,0,3,2,3
